drug,title
ABT-737; adavosertib; sotorasib,wee1 confers resistance to krasg12c inhibitors in non-small cell lung cancer
Palbociclib; Letrozole,palbociclib overcomes afatinib resistance in non-small cell lung cancer
regorafenib; erlotinib,regorafenib suppresses epidermal growth factor receptor signaling-modulated progression of colorectal cancer
pyrotinib,her2 exon 20 insertions in non-small-cell lung cancer are sensitive to the irreversible pan-her receptor tyrosine kinase inhibitor pyrotinib
Liensinine; Acetyl?bufalin; Aiduqing formula,xie-bai-san increases nsclc cells sensitivity to gefitinib by inhibiting beclin-1 mediated autophagosome formation
 crizotinib,rapid acquisition of alectinib resistance in alk-positive lung cancer with high tumor mutation burden
afatinib; rapamycin,novel preclinical patient-derived lung cancer models reveal inhibition of her3 and mtor signaling as therapeutic strategies for nrg1 fusion-positive cancers
trametinib; navitoclax; KRT?232,combination therapy with mdm2 and mek inhibitors is effective in patient-derived models of lung adenocarcinoma with concurrent oncogenic drivers and mdm2 amplification
cisplatin,carbon nanotube capsules enhance the in vivo efficacy of cisplatin
bevacizumab,discontinuous schedule of bevacizumab in colorectal cancer induces accelerated tumor growth and phenotypic changes
Trametinib; Selinexor,antitumor efficacy of xpo1 inhibitor selinexor in?kras-mutant lung adenocarcinoma patient-derived xenografts
eribulin; palbociclib,"doublet and triplet combinations of eribulin, fulvestrant, and palbociclib in preclinical breast cancer models"
BRM270,patient-derived non-small cell lung cancer xenograft mirrors complex tumor heterogeneity
 MLN0128; fulvestrant; trastuzumab,dual mtor kinase inhibitor mln0128 sensitizes hr+/her2+ breast cancer patient-derived xenografts to trastuzumab or fulvestrant
LEE011,sensitivity of kras-mutant colorectal cancers to combination therapy that cotargets mek and cdk4/6
 Enzalutamide,pharmacological targeting of androgen receptor elicits context-specific effects in estrogen receptor positive breast cancer
savolitinib,"pharmacokinetic/pharmacodynamic analysis of savolitinib plus osimertinib in an egfr mutation positive, met-amplified non small cell lung cancer model"
 BAY 1129980,preclinical antitumor efficacy of bay 1129980 a novel auristatin-based anti-c4.4a (lypd3) antibody drug conjugate for the treatment of non small cell lung cancer
tucatinib; trastuzumab; docetaxel,preclinical activity of her2-selective tyrosine kinase inhibitor tucatinib as a single agent or in combination with trastuzumab or docetaxel in solid tumor models
 recombinant methioninase (rMETase); IRN,"targeting methionine addiction combined with low-dose irinotecan arrested colon cancer in contrast to high-dose irinotecan alone, which was ineffective, in a nude-mouse model"
 Regorafenib; 5-Fluorouracil; Cetuximab,regorafenib inhibits colorectal tumor growth through puma-mediated apoptosis
tamoxifen; letrozole; fulvestrant,acquired resistance to endocrine treatments is associated with tumor-specific molecular changes in patient-derived luminal breast cancer xenografts
erlotinib; palbociclib,"expression of mt4-mmp, egfr, and rb in triple-negative breast cancer strongly sensitizes tumors to erlotinib and palbociclib combination therapy"
 lorlatinib,diverse resistance mechanisms to the third-generation alk inhibitor lorlatinib in alk-rearranged lung cancer
ONO?7475; osimertinib; cabozantinib,"ono-7475, a novel axl inhibitor, suppresses the adaptive resistance to initial egfr-tki treatment in egfr-mutated non small cell lung cancer"
cetuximab,enhancing the therapeutic efficacy of gefitinib in human non-small-cell lung cancer through drug combination
JNJ?26481585; cisplatin; gemcitabine,3-dimensional patient-derived lung cancer assays reveal resistance to standards-of-care promoted by stromal cells but sensitivity to histone deacetylase inhibitors
 bevacizumab; aflibercept; XELOX,differential antitumor activity of aflibercept and bevacizumab in patient-derived xenograft models of colorectal cancer
 neratinib; everolimus; palbociclib,"combining neratinib with cdk4/6, mtor, and mek inhibitors in models of her2-positive cancer"
